month,gmv
2016-09-01,354.75
2016-10-01,56808.84
2016-12-01,19.62
2017-01-01,137188.49
2017-02-01,286280.62
2017-03-01,432048.59
2017-04-01,412422.24
2017-05-01,586190.95
2017-06-01,502963.04
2017-07-01,584971.62
2017-08-01,668204.60
2017-09-01,720398.91
2017-10-01,769312.37
2017-11-01,1179143.77
2017-12-01,863547.23
2018-01-01,1107301.89
2018-02-01,986908.96
2018-03-01,1155126.82
2018-04-01,1159698.04
2018-05-01,1149781.82
2018-06-01,1022677.11
2018-07-01,1058728.03
2018-08-01,1003308.47
2018-09-01,166.46
2025-10-01,16870.32
