seller_id,orders,revenue
4869f7a5dfa277a7dca6462dcf3b52b2,1132,229472.63
53243585a1d6dc2643021fd1853d8905,358,222776.05
4a3ca9315b744ce9f8e9374361493884,1806,200472.92
fa1c13f2614d7b5c4749cbc52fecda94,585,194042.03
7c67e1448b00f6e969d365cea6b010ab,982,187923.89
7e93a43ef30c4f03f38b393420bc753a,336,176431.87
da8622b14eb17ae2831f4ac5b9dab84a,1314,160236.57
7a67c85e85bb2ce8582c35f2203ad736,1160,141745.53
1025f0e2d44d7041d6cf58b6550e0bfa,915,138968.55
955fee9216a65b617aa5c0531780ce60,1287,135171.70
46dc3b2cc0980fb8ec44634e21d2718e,521,128111.19
6560211a19b47992c3666cc44a7e94c0,1854,123304.83
620c87c171fb2a6dd6e8bb4dec959fc6,740,114774.50
7d13fca15225358621be4086e1eb0964,565,113628.97
5dceca129747e92ff8ef7a997dc4f8ca,325,112155.53
1f50f920176fa81dab994f9023523100,1404,106939.21
cc419e0650a3c5ba77189a1882b7556a,1706,104288.42
a1043bafd471dff536d0c462352beb48,718,101901.16
3d871de0142ce09b7081e2b9d1733cb1,1080,94914.20
edb1ef5e36e0c8cd84eb3c9b003e486d,166,79284.55
