category,avg_review,reviews
books_general_interest,4.45,548
costruction_tools_tools,4.44,99
books_imported,4.40,60
books_technical,4.36,263
food_drink,4.32,276
luggage_accessories,4.31,1086
small_appliances_home_oven_and_coffee,4.29,75
fashion_shoes,4.25,257
food,4.22,494
cine_photo,4.21,73
stationery,4.20,2496
computers,4.18,200
pet_shop,4.18,1934
perfumery,4.17,3407
home_appliances,4.17,746
toys,4.16,4075
fashion_bags_accessories,4.15,2008
musical_instruments,4.15,675
cool_stuff,4.15,3763
small_appliances,4.15,672
